id,title,venue_name,venue_ids,author
meta:br/06101330927 doi:10.1038/s41467-020-14481-z,Atomic Structure And Defect Dynamics Of Monolayer Lead Iodide Nanodisks With Epitaxial Alignment On Graphene,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Sinha, S.; Zhu, Taishan; France-Lanord, Arthur; Sheng, Yuewen; Grossman, Jeffrey C.; Porfyrakis, Kyriakos; Warner, Jamie"
meta:br/06101330779 doi:10.1038/s41467-020-14642-0,Heterogeneity Of Response To Immune Checkpoint Blockade In Hypermutated Experimental Gliomas,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Aslan, Katrin; Turco, Verena; Blobner, Jens; Sonner, Jana; Liuzzi, Anna Rita; Nuñez, Nicolás Gonzalo; De Feo, Donatella; Kickingereder, Philipp; Fischer, Manuel; Green, Ed; Sadik, Ahmed; Friedrich, Mirco; Sanghvi, Khwab; Kilian, Michael; Cichon, Frederik; Wolf, Lara; Jähne, Kristine; Von Landenberg, Anna; Bunse, Lukas; Sahm, Felix; Schrimpf, Daniel; Meyer, Jochen; Alexander, Allen; Brugnara, Gianluca; Röth, Ralph; Pfleiderer, Kira; Niesler, Beate; Von Deimling, Andreas; Opitz, Christiane; Breckwoldt, Michael O; Heiland, Sabine; Bendszus, Martin; Wick, Wolfgang; Becher, Burkhard; Platten, Michael"
meta:br/06101330793 doi:10.1038/s41467-020-14649-7,Prefrontal Attentional Saccades Explore Space Rhythmically,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Gaillard, Corentin; Ben Hadj Hassen, Sameh; Di Bello, Fabio; Bihan-Poudec, Yann; VanRullen, Rufin; Hamed, Suliann Ben"
meta:br/06101330757 doi:10.1038/s41467-020-14790-3,Structure Of The Human Cation–Chloride Cotransporter NKCC1 Determined By Single-Particle Electron Cryo-Microscopy,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Yang, Xiaoyong; Wang, Qinzhe; Cao, Erhu"
meta:br/06101330551 doi:10.1038/s41467-020-14956-z,Anti-angiogenic Effects Of VEGF Stimulation On Endothelium Deficient In Phosphoinositide Recycling,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Stratman, Amber; Farrelly, Olivia M.; Mikelis, Constantinos M.; Miller, Mayumi F.; Wang, Zhiyong; Pham, Van N.; Davis, Andrew E.; Burns, Margaret C.; Pezoa, Sofia; Castranova, Daniel; Yano, Joseph J.; Kilts, Tina M.; Davis, George E.; Gutkind, J. Silvio; Weinstein, Brant M"
meta:br/06101330669 doi:10.1038/s41467-020-14885-x,Wounding Triggers MIRO-1 Dependent Mitochondrial Fragmentation That Accelerates Epidermal Wound Closure Through Oxidative Signaling,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Fu, Hongying; Zhou, Hengda; Yu, Xinghai; Xu, Jingxiu; Zhou, Jinghua; Meng, Xinan; Zhao, Jianzhi; Zhou, Yu; Chisholm, Andrew D.; Xu, Suhong"
meta:br/06101330087 doi:10.1108/01409171111186414,Some Thoughts On The Decline Of Pension Schemes,Management Research Review,meta:br/06101330359 issn:2040-8269,"Smith, Julia A; MacLaren, Jade A."
meta:br/06101330642 doi:10.1038/s41467-020-14911-y,Entropy And Interfacial Energy Driven Self-Healable Polymers,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Hornat, Chris C.; Urban, Marek W."
meta:br/06101330104 doi:10.1108/01409171111158956,Evolutionary Selection And Variation In Family Businesses,Management Research Review,meta:br/06101330359 issn:2040-8269,"Laakkonen, Anne; Kansikas, Juha"
meta:br/06101330210 doi:10.1108/01409171011030381,Casino Gambling And Workplace Fraud: A Cautionary Tale For Managers,Management Research Review,meta:br/06101330359 issn:2040-8269,"Kelly, Patrick; Hartley, Carol A."
