id,title,type,publisher
doi:10.1037/e383822004-001,Persistence And Change: Standards-Based Systemic Reform In Nine States,dataset,crossref:15
doi:10.1037/e531662006-001,BIA And DOD Schools: Student Achievement And Other Characteristics Often Differ From Public Schools',dataset,crossref:15
doi:10.1037/e596722007-001,"Drugs, Brains, And Behavior: The Science Of Addiction",dataset,crossref:15
doi:10.1037/e666672011-056,On The Process Of Preparation,dataset,crossref:15
doi:10.1037/e521822006-001,National Evaluation Of Weed And Seed: Shreveport Case Study,dataset,crossref:15
doi:10.1145/2442829.2442839,A Root Isolation Algorithm For Sparse Univariate Polynomials,proceedings article,crossref:320
doi:10.1037/e463452008-194,"Tranquilizing Action Of Nicotine: Similarity Of Effects With Meprobamate, A Minor Tranquilizer",dataset,crossref:15
doi:10.1037/e629522012-002,Social Class And (Un)ethical Behavior: Evidence From A Large Population Sample,dataset,crossref:15
doi:10.1037/e578302012-018,The Effects Of Cellular Phone Use On Novice And Experienced Driver Performance: An On-Road Study,dataset,crossref:15
doi:10.1037/e655262012-001,Sexual Experiences Survey: Participant Reactions To Internet Versus Paper And Pencil Administration,dataset,crossref:15
doi:10.1037/e479792004-001,Transmission And Reception Of Sounds Under Combat Conditions.,dataset,crossref:15
doi:10.1109/ths.2012.6459869,Radar Information Networks With Target Data Persistence For Intelligence-Led Border Enforcement,proceedings article,crossref:263
doi:10.1037/e520592012-167,Bilingual Sentence Processing: Multiple Language Activation,dataset,crossref:15
doi:10.1037/e610152007-001,Cabinet Officials To Look Into Issues Raised By Virginia Tech Tragedy,dataset,crossref:15
doi:10.1037/e519892012-005,APA Practice Organization Works To Support Full Parity For Mental Health Insurance Coverage,dataset,crossref:15
doi:10.1037/e459682004-001,An Assessment Study Of Air Force Officers: V. Summary And Applications.,dataset,crossref:15
doi:10.1037/e581112010-001,Why Smart Leaders Make Dumb Decisions: A Catastrophe Explanation?,dataset,crossref:15
doi:10.5005/jp/books/11242_18,Basic Ultrasonography In Pregnancy,book chapter,crossref:2914
doi:10.1108/s1537-4661(2013)0000016007,Educating Active Citizens: What Roles Are Students Expected To Play In Public Life?,book chapter,crossref:140
doi:10.1109/cis.2011.6169127,Electrocardiogram Beat Classification Using Classifier Fusion Based On Decision Templates,proceedings article,crossref:263
doi:10.1037/e613522011-002,"At $95 Million Per Year, Sexual Harassment Costs",dataset,crossref:15
doi:10.1037/e599342010-001,Census Reports More Children Living In Poverty: Implications For Well-being,dataset,crossref:15
doi:10.1037/e677552010-001,Drug Harm Minimisation Education For Police In Australia,dataset,crossref:15
doi:10.1037/e529662010-006,Use Morality As Basis For Animal Treatment,dataset,crossref:15
doi:10.1037/e402062004-001,Studies In Interactive Communication: Limited Vocabulary Natural Language Dialogue.,dataset,crossref:15
doi:10.1515/9783110927993.397,5.5 Über Den Sinn Der Großschreibung - Ein Alternativvorschlag Zur Neuregelung,book chapter,crossref:374
doi:10.5005/jp/books/11489_1,"Anatomy—Past, Present And Future",book chapter,crossref:2914
doi:10.1037/e568962010-001,"Hold Me Tight, Let Me Go",dataset,crossref:15
doi:10.1037/e496912006-012,Cocaine: Treatment Perspectives,dataset,crossref:15
doi:10.1037/e665992011-261,Are Spatial Visual Arrays Processed In Serial Or In Parallel?,dataset,crossref:15
doi:10.1037/e387792004-001,"Profile Of State Prisoners Under Age 18, 1985-97",dataset,crossref:15
doi:10.3386/w18826,"Aggregate Demand, Idle Time, And Unemployment",report,crossref:1960
doi:10.1037/e461742004-001,Experiments On Vigilance: V. The Empirical Model For Human Vigilance.,dataset,crossref:15
doi:10.1037/e495552006-009,The Addiction Severity Index In Clinical Efficacy Trials Of Medications For Cocaine Dependence,dataset,crossref:15
doi:10.1037/e594332012-001,How To Teach Your Kids About Tolerance,dataset,crossref:15
doi:10.1037/e511272007-001,Are Processing-Speed Difficulties Related To Attentional Problems?,dataset,crossref:15
doi:10.1145/2441955.2442033,Collaborative Information Seeking,proceedings article,crossref:320
doi:10.1037/e516172009-001,An Investigation Of Symbolic Factors Of Cognition And Convergent Production: Studies Of Aptitudes Of High-Level Personnel,dataset,crossref:15
doi:10.1037/e439682005-001,"Economic Incentives For Preventive Care: Evidence Report/Technology Assessment, Number 101",dataset,crossref:15
doi:10.1037/e359972004-001,"Dietary Supplement Firms, Seasilver USA, Inc., And Americaloe, Inc., Sign Consent Decree With FDA To Stop Selling Product Claiming To Cure ""Over 650"" Diseases",dataset,crossref:15
doi:10.1037/e444752004-001,Experimental Studies Of Psychological Stress In Man.,dataset,crossref:15
doi:10.1037/e413802005-044,"To Enhance Or Denigrate: Group Identification, Social Identity Threat, And Audience Composition",dataset,crossref:15
doi:10.1145/2442616.2442622,K-anonymity In Indoor Spaces Through Hierarchical Graphs,proceedings article,crossref:320
doi:10.1037/e413802005-384,Tangible And Intangible Investments In Romantic Relationships: Differential Prediction Of Relationship Commitment,dataset,crossref:15
doi:10.1037/e375652004-019,Informant Ratings Of Community Adjustment,dataset,crossref:15
doi:10.1037/e419482005-001,Adaptiveness In National Defense: The Basis Of A New Framework,dataset,crossref:15
doi:10.1037/e523492011-001,World VIII: Children Of The Taliban,dataset,crossref:15
doi:10.1037/e517642009-018,Can A Videotape Speak For Itself?,dataset,crossref:15
doi:10.1037/e590322009-010,Parents: Prevention Means Being Involved,dataset,crossref:15
doi:10.1037/e463702004-001,"Symmetry, Information, And Memory For Patterns.",dataset,crossref:15
doi:10.1037/e515812012-001,Cypriot Women's Efforts To Peacebuilding With Specific Reference To UNSC Resolution 1325,dataset,crossref:15
doi:10.1037/e541992009-010,Member News,dataset,crossref:15
doi:10.1037/e723672011-001,Declining Employment Among Young Black Less-Educated Men: The Role Of Incarceration And Child Support,dataset,crossref:15
doi:10.1037/e527342012-360,Decomposing The Multisource Interference Task,dataset,crossref:15
doi:10.1037/e425792008-011,Youth Tobacco Sales Lowest In 10 Years,dataset,crossref:15
doi:10.1037/e554542012-008,Content Validation Of The German Version Of The CAPP,dataset,crossref:15
doi:10.1037/e438212005-001,National Household Survey On Drug Abuse: Population Estimates 1998,dataset,crossref:15
doi:10.1037/e523192009-001,A Rapid Item-Search Procedure For Bayesian Adaptive Testing,dataset,crossref:15
doi:10.1037/e665412011-117,The Effect Of Suggestibility On Children's Recognition Memory,dataset,crossref:15
doi:10.1109/icumt.2012.6459646,Retrieval Of Leaf Area Index Based On The Multi-Type Remote Sensing Data,proceedings article,crossref:263
doi:10.1037/e317032004-003,Advocacy And Law Enforcement: Partners Against Domestic Violence,dataset,crossref:15
doi:10.1037/e492172006-002,"Schools And Staffing Survey, 1999-2000: Overview Of The Data For Public, Private, Public Charter, And Bureau Of Indian Affairs Elementary And Secondary Schools",dataset,crossref:15
doi:10.1515/9783110918502.36,4 Interne Betrachtung Der FVG-Elemente,book chapter,crossref:374
doi:10.1109/pht.2013.6461306,A Simple Model For Bedside Evaluation Of Current For Neuromuscular Electrical Stimulation In Cerebral Palsy,proceedings article,crossref:263
doi:10.1037/e736512011-001,Nighttime Glare And Driving Performance: Research Findings,dataset,crossref:15
doi:10.1109/icsenst.2012.6461736,Long Term Cochlear Implant Electrode Improvement For Stimulation And Sensing Neuronal Activity,proceedings article,crossref:263
doi:10.1037/e676822011-011,Role Of The Fuzzy System In Psychological Research,dataset,crossref:15
doi:10.1037/e563122006-001,CYF Committee,dataset,crossref:15
doi:10.1037/e645192007-001,The Effects Of Wearing Chemical Protective Clothing On Cognitive Problem Solving,dataset,crossref:15
doi:10.1037/e538452009-016,Building Community,dataset,crossref:15
doi:10.1037/e419622005-001,"Small Deployments, Big Problems",dataset,crossref:15
doi:10.1037/e389222004-013,Farm Women And Stress,dataset,crossref:15
doi:10.1037/e465422008-113,Effects Of Exploitative And Cooperative Relationships On Subsequent Interpersonal Relations,dataset,crossref:15
doi:10.1037/e308082004-001,The Surgeon General's Report For Kids About Smoking: 6 Facts About Kids And Smoking,dataset,crossref:7822
doi:10.1037/e514152010-001,"NYSOFA News, January 2009",dataset,crossref:15
doi:10.1037/e376842004-005,Statement Analysis: Beyond The Words,dataset,crossref:15
doi:10.1037/e665992011-293,Acquisition And Extinction Of Shuttlebox Avoidance In The Chinchilla (C. Lanigera),dataset,crossref:15
doi:10.1037/e384482004-001,"What Large-Scale, Survey Research Tells Us About Teacher Effects On Student Achievement: Insights From The Prospects Study Of Elementary Schools",dataset,crossref:15
doi:10.1037/e599052011-001,NCEE Study Snapshot: Evaluation Of The DC Opportunity Scholarship Program: Final Report,dataset,crossref:15
doi:10.1037/e529912010-008,Study Finds Unexpected Result On Teachers' Belief In Students,dataset,crossref:15
doi:10.5772/53249,Revision Hip Arthroplasty: Management Of Bone Loss,book chapter,crossref:3774
doi:10.1037/e638322011-001,"Federal Register, December 6, 2000",dataset,crossref:7822
doi:10.1037/e571122011-001,Motivations And Experiences Of UK Students Study Abroad: Statistical Sources-Summary Metadata Report,dataset,crossref:15
doi:10.1037/e683342011-010,Moral Judgment In Efficient Breach Of Contract,dataset,crossref:15
doi:10.1037/e476592006-001,"""Fine Line: Mental Health/Mental Illness"" Photo Exhibit Opens At SAMHSA",dataset,crossref:15
doi:10.1037/e539262008-001,Behavioral Changes Following Radiation: II. Maternal Behavioral And Maze Performance,dataset,crossref:15
doi:10.1145/2441776.2441817,Representation And Communication,proceedings article,crossref:320
doi:10.1037/e439712004-001,Aptitude Level And The Acquisition Of Skills And Knowledges In A Variety Of Military Training Tasks.,dataset,crossref:15
doi:10.1037/e731862011-001,Race And Ethnicity In Fatal Motor Vehicle Traffic Crashes 1999 - 2004,dataset,crossref:15
doi:10.1037/e443082004-001,Profile Analysis And Its Effect On Learning When Used To Shorten Recorded Film Commentaries.,dataset,crossref:15
doi:10.1109/cgc.2012.112,Ontology-Based Temporal Relation Modeling With MapReduce Latent Dirichlet Allocations For Big EHR Data,proceedings article,crossref:263
doi:10.1037/e375172004-001,Nursing Home Compare,dataset,crossref:7822
doi:10.1037/e570892011-007,Mental Health Blog Day Round Up,dataset,crossref:15
doi:10.1037/e496202006-003,"Pyrolytic Characteristics, Pharmacokinetics, And Bioavailability Of Smoked Heroin, Cocaine, Phencyclidine, And Methamphetamine",dataset,crossref:15
doi:10.1037/e492172006-020,Projections Of Education Statistics To 2012,dataset,crossref:15
doi:10.1037/e410932004-001,Development Of A Coding Form For Approach Control/Pilot Voice Communications.,dataset,crossref:15
doi:10.1037/e688122011-001,Advancing Health With Psychotherapy,dataset,crossref:15
doi:10.1002/9781118397145.ch3,Formulation Of Inhalation Medicines,book chapter,crossref:311
doi:10.1037/e716462007-001,Katrina Journal,dataset,crossref:15
doi:10.1037/e364032004-010,Where Have All The Students Gone?,dataset,crossref:15
doi:10.1037/e653292012-001,Concurrent Validation Of A New Measure Of Executive Functioning In Older Children,dataset,crossref:15
doi:10.1037/e492182006-012,"Outcomes Of Learning: Results From The 2000 Program For International Student Assessment Of 15-Year-Olds In Reading, Mathematics, And Science Literacy",dataset,crossref:15
