id,name
crossref:15,American Psychological Association (Apa)
crossref:320,Association For Computing Machinery (Acm)
crossref:263,Institute Of Electrical And Electronics Engineers (Ieee)
crossref:2914,Jaypee Brothers Medical Publishing
crossref:140,Emerald
crossref:374,Walter De Gruyter GmbH
crossref:1960,National Bureau Of Economic Research
crossref:1963,Organisation For Economic Co-Operation And Development (Oecd)
crossref:7822,Test Accounts
crossref:3774,IntechOpen
crossref:311,Wiley
crossref:301,Informa Uk Limited
crossref:78,Elsevier Bv
crossref:381,Astm International
crossref:3145,Copernicus GmbH
crossref:2652,Harvard University Press
crossref:7763,Worldwide Protein Data Bank
crossref:56,Cambridge University Press (Cup)
crossref:3205,British Machine Vision Association And Society For Pattern Recognition
crossref:2432,Igi Global
crossref:1574,Atlantis Press Sarl
crossref:960,Office Of Scientific And Technical Information (Osti)
crossref:861,Society Of Petroleum Engineers (Spe)
crossref:297,Springer Science And Business Media Llc
crossref:2571,Natural Resources Canada/CMSS/Information Management
